Creation Date,Vendor,Class of Service,Flight Number,Distance (miles),Departure Date,Departure Time,Departure Station Code,Departure Station Name,Departure City,Departure Country,Arrival Date,Arrival Time,Arrival Station Code,Arrival Station Name,Arrival City,Arrival Country,Itinerary Source,Booking Source,Ticket ID,Ticket Status
"Jan 3, 2017",Delta,Economy,220,"5,114","Feb 11, 2017",955,ACC,Accra Airport,"Accra, GH",GHANA,"Feb 11, 2017",1624,JFK,New York John F. Kennedy Intl Airport,"New York, NEW YORK, US",UNITED STATES,Concur Travel,Apollo,0067913955269,Active
"Aug 22, 2017",American Airlines,ECONOMY,2134,398,"Jan 9, 2018",2100,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,"Jan 9, 2018",2242,DCA,Washington D.C. Ronald Reagan National Airport,"Washington, DISTRICT OF COLUMBIA, US",UNITED STATES,Concur Travel,Apollo,0018611494857,Active
"Aug 22, 2017",American Airlines,ECONOMY,4411,859,"Jan 13, 2018",835,DCA,Washington D.C. Ronald Reagan National Airport,"Washington, DISTRICT OF COLUMBIA, US",UNITED STATES,"Jan 13, 2018",1123,PBI,West Palm Beach Intl Airport,"West Palm Beach, FLORIDA, US",UNITED STATES,Concur Travel,Apollo,0017007703864,Active
"Jul 20, 2017",Emirates Air,Saver Fares,237,"6,656","Jan 15, 2018",840,DXB,Dubai,"Dubai, AE",UNITED ARAB EMIRATES,"Jan 15, 2018",1400,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,Concur Travel,Apollo,1768610026214,Active
"Aug 22, 2017",American Airlines,ECONOMY,4411,859,"Jan 13, 2018",835,DCA,Washington D.C. Ronald Reagan National Airport,"Washington, DISTRICT OF COLUMBIA, US",UNITED STATES,"Jan 13, 2018",1123,PBI,West Palm Beach Intl Airport,"West Palm Beach, FLORIDA, US",UNITED STATES,Concur Travel,Apollo,0018611494857,Active
"Sep 13, 2017",American Airlines,ECONOMY,2626,865,"Feb 3, 2018",1720,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,"Feb 3, 2018",1924,ORD,Chicago O'Hare Intl Airport,"Chicago, ILLINOIS, US",UNITED STATES,Concur Travel,Apollo,9848612767181,Active
"Sep 13, 2017",Virgin America,ECONOMY,1360,"2,607","Feb 11, 2018",705,LAX,Los Angeles Intl Airport,"Los Angeles, CALIFORNIA, US",UNITED STATES,"Feb 11, 2018",1534,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,Concur Travel,Apollo,0018612767180,Active
"Sep 13, 2017",Virgin America,ECONOMY,1360,"2,607","Feb 11, 2018",705,LAX,Los Angeles Intl Airport,"Los Angeles, CALIFORNIA, US",UNITED STATES,"Feb 11, 2018",1534,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,Concur Travel,Apollo,9848612767181,Active
"Sep 22, 2017",JetBlue,ECONOMY,951,"1,123","Jan 15, 2018",1435,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,"Jan 15, 2018",1759,MCO,Orlando,"Orlando, FLORIDA, US",UNITED STATES,Concur Travel,Apollo,2798612769058,Active
"Aug 22, 2017",American Airlines,ECONOMY,2134,398,"Jan 9, 2018",2100,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,"Jan 9, 2018",2242,DCA,Washington D.C. Ronald Reagan National Airport,"Washington, DISTRICT OF COLUMBIA, US",UNITED STATES,Concur Travel,Apollo,0017007703864,Active
"Oct 2, 2017",American Airlines,ECONOMY,2387,865,"Jan 25, 2018",1505,ORD,Chicago O'Hare Intl Airport,"Chicago, ILLINOIS, US",UNITED STATES,"Jan 25, 2018",1820,BOS,Boston Logan Intl Airport,"Boston, MASSACHUSETTS, US",UNITED STATES,Concur Travel,Apollo,0018612770277,Active
"Mar 2, 2018",Jet Airways,Economy Deal,497,815,"Jan 22, 2019",2025,CCU,Kolcata,"Kolkata, IN",INDIA,"Jan 22, 2019",2255,DEL,Delhi,"Delhi, IN",INDIA,Concur Travel,Apollo,5897012822265,Active
"Mar 2, 2018",Jet Airways,Economy Deal,497,815,"Jan 22, 2019",2030,CCU,Kolcata,"Kolkata, IN",INDIA,"Jan 22, 2019",2250,DEL,Delhi,"Delhi, IN",INDIA,Concur Travel,Apollo,5897012822265,Active
"Mar 2, 2018",Jet Airways,Economy Deal,497,815,"Jan 22, 2019",2025,CCU,Kolcata,"Kolkata, IN",INDIA,"Jan 22, 2019",2255,DEL,Delhi,"Delhi, IN",INDIA,Concur Travel,Apollo,0167012822262,Active
